workers,elapsed_s,baseline,best,improvement_pct,population,generations
1,1291.69,39473,28689,27.3,128,20
3,437.04,39473,28689,27.3,128,20
7,199.51,39473,28689,27.3,128,20
15,100.61,39473,28689,27.3,128,20
23,72.01,39473,28689,27.3,128,20
31,60.09,39473,28689,27.3,128,20
47,47.92,39473,28689,27.3,128,20
