algorithm,evals,best
anneal,1219,36598.0
anneal,1242,36598.0
anneal,1265,36598.0
anneal,1288,36598.0
anneal,1311,36598.0
anneal,1334,36598.0
anneal,1357,36598.0
anneal,1380,36598.0
anneal,1403,36598.0
anneal,1426,36598.0
anneal,1449,36598.0
anneal,1472,36598.0
anneal,1495,36598.0
anneal,1518,36598.0
anneal,1541,36598.0
anneal,1564,36598.0
anneal,1587,36598.0
anneal,1610,36598.0
anneal,1633,36598.0
anneal,1656,36598.0
anneal,1679,36598.0
anneal,1702,36598.0
anneal,1725,36598.0
anneal,1748,36598.0
anneal,1771,36598.0
anneal,1794,36598.0
anneal,1817,36598.0
anneal,1840,36598.0
anneal,1863,36588.0
anneal,1886,36588.0
anneal,1909,36588.0
anneal,1932,36405.0
anneal,1955,36405.0
anneal,1978,36405.0
